Event,Course,Gender,Time
50 Free,LCM,Female,29.09
50 Free,SCY,Female,25.29
50 Free,LCM,Male,27.59
50 Free,SCY,Male,23.99
100 Free,LCM,Female,1:03.29
100 Free,SCY,Female,55.19
100 Free,LCM,Male,59.89
100 Free,SCY,Male,51.89
200 Free,LCM,Female,2:19.49
200 Free,SCY,Female,1:59.99
200 Free,LCM,Male,2:12.19
200 Free,SCY,Male,1:54.99
400 Free,LCM,Female,4:55.39
500 Free,SCY,Female,5:23.09
400 Free,LCM,Male,4:38.49
500 Free,SCY,Male,4:59.19
800 Free,LCM,Female,10:10.19
1000 Free,SCY,Female,11:20.19
800 Free,LCM,Male,9:43.29
1000 Free,SCY,Male,10:43.79
1500 Free,LCM,Female,19:27.49
1650 Free,SCY,Female,18:52.89
1500 Free,LCM,Male,18:34.19
1650 Free,SCY,Male,17:55.89
100 Back,LCM,Female,1:11.99
100 Back,SCY,Female,1:02.69
100 Back,LCM,Male,1:08.69
100 Back,SCY,Male,59.29
200 Back,LCM,Female,2:35.69
200 Back,SCY,Female,2:14.49
200 Back,LCM,Male,2:28.79
200 Back,SCY,Male,2:08.79
100 Breast,LCM,Female,1:24.49
100 Breast,SCY,Female,1:12.59
100 Breast,LCM,Male,1:19.49
100 Breast,SCY,Male,1:08.89
200 Breast,LCM,Female,3:02.09
200 Breast,SCY,Female,2:36.69
200 Breast,LCM,Male,2:52.59
200 Breast,SCY,Male,2:28.49
100 Fly,LCM,Female,1:11.59
100 Fly,SCY,Female,1:02.19
100 Fly,LCM,Male,1:07.09
100 Fly,SCY,Male,58.99
200 Fly,LCM,Female,2:40.79
200 Fly,SCY,Female,2:19.89
200 Fly,LCM,Male,2:35.99
200 Fly,SCY,Male,2:13.49
200 IM,LCM,Female,2:36.79
200 IM,SCY,Female,2:16.29
200 IM,LCM,Male,2:28.39
200 IM,SCY,Male,2:08.79
400 IM,LCM,Female,5:37.19
400 IM,SCY,Female,4:47.49
400 IM,LCM,Male,5:16.09
400 IM,SCY,Male,4:34.69
