Event,Course,Gender,Time,Meet,Age Group
50 Free,LCM,Female,28.07,YMCA Nationals (SC Meet),Open
50 Free,SCY,Female,24.79,YMCA Nationals (SC Meet),Open
50 Free,LCM,Male,25.01,YMCA Nationals (SC Meet),Open
50 Free,SCY,Male,22.09,YMCA Nationals (SC Meet),Open
100 Free,LCM,Female,1:00.90,YMCA Nationals (SC Meet),Open
100 Free,SCY,Female,53.79,YMCA Nationals (SC Meet),Open
100 Free,LCM,Male,54.56,YMCA Nationals (SC Meet),Open
100 Free,SCY,Male,48.19,YMCA Nationals (SC Meet),Open
200 Free,LCM,Female,2:11.89,YMCA Nationals (SC Meet),Open
200 Free,SCY,Female,1:56.49,YMCA Nationals (SC Meet),Open
200 Free,LCM,Male,1:59.10,YMCA Nationals (SC Meet),Open
200 Free,SCY,Male,1:45.19,YMCA Nationals (SC Meet),Open
500 Free,SCY,Female,5:10.99,YMCA Nationals (SC Meet),Open
500 Free,SCY,Male,4:47.99,YMCA Nationals (SC Meet),Open
400 Free,LCM,Female,4:37.56,YMCA Nationals (SC Meet),Open
400 Free,LCM,Male,4:11.99,YMCA Nationals (SC Meet),Open
1000 Free,SCY,Female,10:42.19,YMCA Nationals (SC Meet),Open
1000 Free,SCY,Male,9:58.29,YMCA Nationals (SC Meet),Open
800 Free,LCM,Female,9:33.15,YMCA Nationals (SC Meet),Open
800 Free,LCM,Male,8:43.50,YMCA Nationals (SC Meet),Open
1650 Free,SCY,Female,18:04.59,YMCA Nationals (SC Meet),Open
1650 Free,SCY,Male,16:45.79,YMCA Nationals (SC Meet),Open
1500 Free,LCM,Female,18:22.96,YMCA Nationals (SC Meet),Open
1500 Free,LCM,Male,16:42.77,YMCA Nationals (SC Meet),Open
100 Back,LCM,Female,1:07.35,YMCA Nationals (SC Meet),Open
100 Back,SCY,Female,59.49,YMCA Nationals (SC Meet),Open
100 Back,LCM,Male,1:01.01,YMCA Nationals (SC Meet),Open
100 Back,SCY,Male,53.89,YMCA Nationals (SC Meet),Open
200 Back,LCM,Female,2:24.91,YMCA Nationals (SC Meet),Open
200 Back,SCY,Female,2:07.99,YMCA Nationals (SC Meet),Open
200 Back,LCM,Male,2:12.68,YMCA Nationals (SC Meet),Open
200 Back,SCY,Male,1:57.19,YMCA Nationals (SC Meet),Open
100 Breast,LCM,Female,1:17.20,YMCA Nationals (SC Meet),Open
100 Breast,SCY,Female,1:08.19,YMCA Nationals (SC Meet),Open
100 Breast,LCM,Male,1:08.94,YMCA Nationals (SC Meet),Open
100 Breast,SCY,Male,1:00.89,YMCA Nationals (SC Meet),Open
200 Breast,LCM,Female,2:47.55,YMCA Nationals (SC Meet),Open
200 Breast,SCY,Female,2:27.99,YMCA Nationals (SC Meet),Open
200 Breast,LCM,Male,2:30.23,YMCA Nationals (SC Meet),Open
200 Breast,SCY,Male,2:12.69,YMCA Nationals (SC Meet),Open
100 Fly,LCM,Female,1:07.13,YMCA Nationals (SC Meet),Open
100 Fly,SCY,Female,59.29,YMCA Nationals (SC Meet),Open
100 Fly,LCM,Male,59.77,YMCA Nationals (SC Meet),Open
100 Fly,SCY,Male,52.79,YMCA Nationals (SC Meet),Open
200 Fly,LCM,Female,2:29.89,YMCA Nationals (SC Meet),Open
200 Fly,SCY,Female,2:12.39,YMCA Nationals (SC Meet),Open
200 Fly,LCM,Male,2:13.36,YMCA Nationals (SC Meet),Open
200 Fly,SCY,Male,1:57.79,YMCA Nationals (SC Meet),Open
200 IM,LCM,Female,2:27.85,YMCA Nationals (SC Meet),Open
200 IM,SCY,Female,2:10.59,YMCA Nationals (SC Meet),Open
200 IM,LCM,Male,2:13.36,YMCA Nationals (SC Meet),Open
200 IM,SCY,Male,1:57.79,YMCA Nationals (SC Meet),Open
400 IM,LCM,Female,5:15.87,YMCA Nationals (SC Meet),Open
400 IM,SCY,Female,4:38.99,YMCA Nationals (SC Meet),Open
400 IM,LCM,Male,4:49.83,YMCA Nationals (SC Meet),Open
400 IM,SCY,Male,4:15.99,YMCA Nationals (SC Meet),Open
50 Free,LCM,Female,28.49,YMCA Nationals (LC Meet),Open
50 Free,SCY,Female,24.99,YMCA Nationals (LC Meet),Open
50 Free,LCM,Male,24.89,YMCA Nationals (LC Meet),Open
50 Free,SCY,Male,22.39,YMCA Nationals (LC Meet),Open
100 Free,LCM,Female,1:01.69,YMCA Nationals (LC Meet),Open
100 Free,SCY,Female,53.99,YMCA Nationals (LC Meet),Open
100 Free,LCM,Male,54.19,YMCA Nationals (LC Meet),Open
100 Free,SCY,Male,48.79,YMCA Nationals (LC Meet),Open
200 Free,LCM,Female,2:14.99,YMCA Nationals (LC Meet),Open
