Event,Course,Gender,Time
50 Free,LCM,Female,28.49
50 Free,SCY,Female,24.99
50 Free,LCM,Male,24.89
50 Free,SCY,Male,22.39
100 Free,LCM,Female,1:01.69
100 Free,SCY,Female,53.99
100 Free,LCM,Male,54.19
100 Free,SCY,Male,48.79
200 Free,LCM,Female,2:14.99
200 Free,SCY,Female,1:57.59
200 Free,LCM,Male,1:58.79
200 Free,SCY,Male,1:46.99
400 Free,LCM,Female,4:38.99
500 Free,SCY,Female,5:12.69
400 Free,LCM,Male,4:13.49
500 Free,SCY,Male,4:49.69
800 Free,LCM,Female,9:47.99
1000 Free,SCY,Female,10:56.89
800 Free,LCM,Male,8:56.39
1000 Free,SCY,Male,10:12.99
1500 Free,LCM,Female,18:51.79
1650 Free,SCY,Female,18:18.59
1500 Free,LCM,Male,17:01.69
1650 Free,SCY,Male,17:04.79
100 Back,LCM,Female,1:10.09
100 Back,SCY,Female,1:00.19
100 Back,LCM,Male,1:00.79
100 Back,SCY,Male,54.79
200 Back,LCM,Female,2:30.59
200 Back,SCY,Female,2:10.09
200 Back,LCM,Male,2:11.79
200 Back,SCY,Male,1:58.79
100 Breast,LCM,Female,1:19.49
100 Breast,SCY,Female,1:08.99
100 Breast,LCM,Male,1:08.29
100 Breast,SCY,Male,1:01.49
200 Breast,LCM,Female,2:52.49
200 Breast,SCY,Female,2:29.79
200 Breast,LCM,Male,2:29.29
200 Breast,SCY,Male,2:14.49
100 Fly,LCM,Female,1:07.59
100 Fly,SCY,Female,59.29
100 Fly,LCM,Male,59.29
100 Fly,SCY,Male,53.39
200 Fly,LCM,Female,2:32.59
200 Fly,SCY,Female,2:12.99
200 Fly,LCM,Male,2:12.79
200 Fly,SCY,Male,1:59.59
200 IM,LCM,Female,2:32.79
200 IM,SCY,Female,2:11.99
200 IM,LCM,Male,2:12.79
200 IM,SCY,Male,1:59.59
400 IM,LCM,Female,5:20.99
400 IM,SCY,Female,4:40.99
400 IM,LCM,Male,4:47.09
400 IM,SCY,Male,4:18.59
