 n-0[]po76tfdxEvent,Course,Gender,Time
50 Free,SCY,Female,22.99
50 Free,LCM,Female,26.59
50 Free,SCY,Male,20.39
50 Free,LCM,Male,23.79
100 Free,SCY,Female,49.99
100 Free,LCM,Female,57.69
100 Free,SCY,Male,44.39
100 Free,LCM,Male,51.99
200 Free,SCY,Female,1:48.29
200 Free,LCM,Female,2:04.99
200 Free,SCY,Male,1:37.89
200 Free,LCM,Male,1:54.09
400/500 Free,SCY,Female,4:50.09
400/500 Free,LCM,Female,4:23.59
400/500 Free,SCY,Male,4:27.09
400/500 Free,LCM,Male,4:02.49
800/1000 Free,SCY,Female,10:04.99
800/1000 Free,LCM,Female,9:06.79
800/1000 Free,SCY,Male,9:13.19
800/1000 Free,LCM,Male,8:23.09
1500/1650 Free,SCY,Female,16:51.49
1500/1650 Free,LCM,Female,17:26.79
1500/1650 Free,SCY,Male,15:34.19
1500/1650 Free,LCM,Male,16:05.09
100 Back,SCY,Female,54.39
100 Back,LCM,Female,1:04.29
100 Back,SCY,Male,48.79
100 Back,LCM,Male,58.19
200 Back,SCY,Female,1:58.29
200 Back,LCM,Female,2:19.29
200 Back,SCY,Male,1:46.79
200 Back,LCM,Male,2:06.99
100 Breast,SCY,Female,1:02.49
100 Breast,LCM,Female,1:13.29
100 Breast,SCY,Male,55.09
100 Breast,LCM,Male,1:05.19
200 Breast,SCY,Female,2:15.59
200 Breast,LCM,Female,2:38.59
200 Breast,SCY,Male,2:00.59
200 Breast,LCM,Male,2:22.59
100 Fly,SCY,Female,54.19
100 Fly,LCM,Female,1:02.49
100 Fly,SCY,Male,48.29
100 Fly,LCM,Male,55.89
200 Fly,SCY,Female,2:00.59
200 Fly,LCM,Female,2:18.39
200 Fly,SCY,Male,1:47.89
200 Fly,LCM,Male,2:05.09
200 IM,SCY,Female,2:01.19
200 IM,LCM,Female,2:21.29
200 IM,SCY,Male,1:48.79
200 IM,LCM,Male,2:07.99
400 IM,SCY,Female,4:18.99
400 IM,LCM,Female,5:00.29
400 IM,SCY,Male,3:52.69
400 IM,LCM,Male,4:33.09
