Event,Course,Gender,Time
50 Free,SCY,Female,23.29
50 Free,LCM,Female,26.89
50 Free,SCY,Male,20.59
50 Free,LCM,Male,24.09
100 Free,SCY,Female,50.39
100 Free,LCM,Female,58.19
100 Free,SCY,Male,44.99
100 Free,LCM,Male,52.59
200 Free,SCY,Female,1:49.09
200 Free,LCM,Female,2:04.99
200 Free,SCY,Male,1:38.59
200 Free,LCM,Male,1:55.29
400/500 Free,SCY,Female,4:53.59
400/500 Free,LCM,Female,4:26.69
400/500 Free,SCY,Male,4:29.29
400/500 Free,LCM,Male,4:05.29
800/1000 Free,SCY,Female,10:11.49
800/1000 Free,LCM,Female,9:06.79
800/1000 Free,SCY,Male,9:24.29
800/1000 Free,LCM,Male,8:28.19
1500/1650 Free,SCY,Female,17:02.19
1500/1650 Free,LCM,Female,17:26.79
1500/1650 Free,SCY,Male,15:40.39
1500/1650 Free,LCM,Male,16:14.79
100 Back,SCY,Female,55.09
100 Back,LCM,Female,1:04.79
100 Back,SCY,Male,49.29
100 Back,LCM,Male,58.19
200 Back,SCY,Female,1:59.39
200 Back,LCM,Female,2:19.59
200 Back,SCY,Male,1:47.99
200 Back,LCM,Male,2:08.29
100 Breast,SCY,Female,1:03.09
100 Breast,LCM,Female,1:13.79
100 Breast,SCY,Male,55.69
100 Breast,LCM,Male,1:05.99
200 Breast,SCY,Female,2:17.19
200 Breast,LCM,Female,2:38.59
200 Breast,SCY,Male,2:01.89
200 Breast,LCM,Male,2:24.39
100 Fly,SCY,Female,54.69
100 Fly,LCM,Female,1:02.69
100 Fly,SCY,Male,48.79
100 Fly,LCM,Male,56.59
200 Fly,SCY,Female,2:01.69
200 Fly,LCM,Female,2:18.39
200 Fly,SCY,Male,1:49.29
200 Fly,LCM,Male,2:06.39
200 IM,SCY,Female,2:02.19
200 IM,LCM,Female,2:22.09
200 IM,SCY,Male,1:49.79
200 IM,LCM,Male,2:09.49
400 IM,SCY,Female,4:21.69
400 IM,LCM,Female,5:00.29
400 IM,SCY,Male,3:56.99
400 IM,LCM,Male,4:35.89
