Event,Course,Gender,Time
50 Free,LCM,Female,28.07
50 Free,SCY,Female,24.79
50 Free,LCM,Male,25.01
50 Free,SCY,Male,22.09
100 Free,LCM,Female,1:00.90
100 Free,SCY,Female,53.79
100 Free,LCM,Male,54.56
100 Free,SCY,Male,48.19
200 Free,LCM,Female,2:11.89
200 Free,SCY,Female,1:56.49
200 Free,LCM,Male,1:59.10
200 Free,SCY,Male,1:45.19
500 Free,SCY,Female,5:10.99
500 Free,SCY,Male,4:47.99
400 Free,LCM,Female,4:37.56
400 Free,LCM,Male,4:11.99
1000 Free,SCY,Female,10:42.19
1000 Free,SCY,Male,9:58.29
800 Free,LCM,Female,9:33.15
800 Free,LCM,Male,8:43.50
1650 Free,SCY,Female,18:04.59
1650 Free,SCY,Male,16:45.79
1500 Free,LCM,Female,18:22.96
1500 Free,LCM,Male,16:42.77
100 Back,LCM,Female,1:07.35
100 Back,SCY,Female,59.49
100 Back,LCM,Male,1:01.01
100 Back,SCY,Male,53.89
200 Back,LCM,Female,2:24.91
200 Back,SCY,Female,2:07.99
200 Back,LCM,Male,2:12.68
200 Back,SCY,Male,1:57.19
100 Breast,LCM,Female,1:17.20
100 Breast,SCY,Female,1:08.19
100 Breast,LCM,Male,1:08.94
100 Breast,SCY,Male,1:00.89
200 Breast,LCM,Female,2:47.55
200 Breast,SCY,Female,2:27.99
200 Breast,LCM,Male,2:30.23
200 Breast,SCY,Male,2:12.69
100 Fly,LCM,Female,1:07.13
100 Fly,SCY,Female,59.29
100 Fly,LCM,Male,59.77
100 Fly,SCY,Male,52.79
200 Fly,LCM,Female,2:29.89
200 Fly,SCY,Female,2:12.39
200 Fly,LCM,Male,2:13.36
200 Fly,SCY,Male,1:57.79
200 IM,LCM,Female,2:27.85
200 IM,SCY,Female,2:10.59
200 IM,LCM,Male,2:13.36
200 IM,SCY,Male,1:57.79
400 IM,LCM,Female,5:15.87
400 IM,SCY,Female,4:38.99
400 IM,LCM,Male,4:49.83
400 IM,SCY,Male,4:15.99
